resultId,raceId,driverId,position,fastestLapTime
26505,1132,1,1,01:29.4
26506,1132,830,2,01:29.0
26507,1132,846,3,01:29.3
26508,1132,857,4,01:28.7
26509,1132,832,5,01:28.3
26510,1132,807,6,01:29.8
26511,1132,840,7,01:29.9
26512,1132,4,8,01:29.7
26513,1132,848,9,01:29.7
26514,1132,852,10,01:30.2
26515,1132,858,11,01:30.0
26516,1132,825,12,01:30.1
26517,1132,817,13,01:30.7
26518,1132,844,14,01:29.7
26519,1132,822,15,01:31.3
26520,1132,839,16,01:30.9
26521,1132,815,17,01:29.7
26522,1132,855,18,01:31.0
26523,1132,847,null,01:31.3
26524,1132,842,null,null
26485,1131,847,1,01:09.2
26486,1131,857,2,01:08.7
26487,1131,832,3,01:09.3
26488,1131,1,4,01:09.6
26489,1131,830,5,01:07.7
26490,1131,807,6,01:10.2
26491,1131,815,7,01:09.7
26492,1131,825,8,01:10.1
26493,1131,817,9,01:10.4
26494,1131,842,10,01:09.6
26495,1131,844,11,01:09.6
26496,1131,839,12,01:09.6
26497,1131,840,13,01:10.1
26498,1131,852,14,01:10.3
26499,1131,848,15,01:10.4
26500,1131,822,16,01:10.4
26501,1131,855,17,01:10.5
26502,1131,4,18,01:07.7
26503,1131,858,19,01:10.4
26504,1131,846,20,01:08.0
26465,1130,830,1,01:17.8
26466,1130,846,2,01:17.1
26467,1130,1,3,01:17.8
26468,1130,847,4,01:18.3
26469,1130,844,5,01:17.9
26470,1130,832,6,01:18.5
26471,1130,857,7,01:17.9
26472,1130,815,8,01:17.8
26473,1130,842,9,01:19.0
26474,1130,839,10,01:19.0
26475,1130,807,11,01:18.6
26476,1130,4,12,01:18.3
26477,1130,855,13,01:18.8
26478,1130,840,14,01:19.3
26479,1130,817,15,01:19.5
26480,1130,822,16,01:19.6
26481,1130,825,17,01:19.8
26482,1130,848,18,01:19.1
26483,1130,852,19,01:19.4
26484,1130,858,20,01:20.2
26445,1129,830,1,01:15.6
26446,1129,846,2,01:15.6
26447,1129,847,3,01:14.9
26448,1129,1,4,01:14.9
26449,1129,857,5,01:16.2
26450,1129,4,6,01:16.3
26451,1129,840,7,01:16.8
26452,1129,817,8,01:17.1
26453,1129,842,9,01:17.0
26454,1129,839,10,01:17.0
26455,1129,807,11,01:16.7
26456,1129,825,12,01:16.5
26457,1129,822,13,01:17.3
26458,1129,852,14,01:17.3
26459,1129,855,15,01:17.3
26460,1129,832,null,01:19.0
26461,1129,848,null,01:19.4
26462,1129,815,null,01:18.8
26463,1129,844,null,01:26.0
26464,1129,858,null,01:26.5
26425,1128,844,1,null
26426,1128,857,2,null
26427,1128,832,3,null
26428,1128,846,4,null
26429,1128,847,5,null
26430,1128,830,6,null
26431,1128,1,7,null
26432,1128,852,8,null
26433,1128,848,9,null
26434,1128,842,10,null
26435,1128,4,11,null
26436,1128,817,12,null
26437,1128,822,13,null
26438,1128,840,14,null
26439,1128,858,15,null
26440,1128,855,16,null
26441,1128,839,null,null
26442,1128,815,null,null
26443,1128,807,null,null
26444,1128,825,null,null
26405,1127,830,1,01:20.4
26406,1127,846,2,01:20.0
26407,1127,844,3,01:19.9
26408,1127,857,4,01:19.9
26409,1127,832,5,01:20.2
26410,1127,1,6,01:20.3
26411,1127,847,7,01:18.6
26412,1127,815,8,01:19.7
26413,1127,840,9,01:20.6
26414,1127,852,10,01:20.9
26415,1127,807,11,01:21.7
26416,1127,825,12,01:21.0
26417,1127,817,13,01:21.6
26418,1127,839,14,01:21.3
26419,1127,855,15,01:21.0
26420,1127,842,16,01:21.4
26421,1127,858,17,01:21.2
26422,1127,822,18,01:21.5
26423,1127,4,19,01:19.0
26424,1127,848,null,01:21.3
26385,1126,846,1,01:31.0
26386,1126,830,2,01:31.3
26387,1126,844,3,01:31.1
26388,1126,815,4,01:30.9
26389,1126,832,5,01:30.9
26390,1126,1,6,01:31.2
26391,1126,852,7,01:31.7
26392,1126,847,8,01:31.9
26393,1126,4,9,01:31.7
26394,1126,839,10,01:32.0
26395,1126,807,11,01:31.9
26396,1126,842,12,01:32.1
26397,1126,857,13,01:30.6
26398,1126,855,14,01:32.0
26399,1126,817,15,01:32.1
26400,1126,822,16,01:32.1
26401,1126,840,17,01:31.6
26402,1126,848,18,01:30.8
26403,1126,825,19,01:31.8
26404,1126,858,null,01:33.5
26365,1125,830,1,01:38.4
26366,1125,846,2,01:38.8
26367,1125,815,3,01:39.4
26368,1125,844,4,01:39.4
